Model,Source,Genes,p,fits
Common,Source2,30,0.7942218630123746,0.7961098985581113
Common,Source2,35,0.799584334971884,0.7926330207946538
Common,Source2,40,0.7838909835771557,0.7892416000182904
Common,Source2,45,0.770412180696129,0.7865997790088011
Common,Source2,50,0.7939151663234476,0.783944348571037
Common,Source2,55,0.7944376849063455,0.7808858321369583
Common,Source2,60,0.7733844205086895,0.7777912565641852
Common,Source2,65,0.7706232791520052,0.7750670149484824
Common,Source2,70,0.7694957197390478,0.7725875201671077
Common,Source2,75,0.7690291984392107,0.7705391671772727
Common,Source2,80,0.766986280948087,0.7691630171691004
Common,Source2,85,0.7722414027021498,0.7682238821047548
Common,Source2,90,0.7710724605544104,0.7678817543579936
Common,Source2,95,0.764588869733094,0.7681897303007443
Common,Source2,100,0.7694153339524581,0.7690509656443821
PerSource,Source2,5,0.7972068745648706,0.7993740444397641
PerSource,Source2,7,0.7960617538574062,0.8006356552710235
PerSource,Source2,10,0.8102179471849287,0.8017144190978562
PerSource,Source2,15,0.7987766562936708,0.8013452572652305
PerSource,Source2,20,0.8066676705787523,0.7982894648102713
PerSource,Source2,25,0.7857545535704331,0.792555093975081
PerSource,Source2,30,0.7802890673786551,0.7841871475218556
PerSource,Source2,35,0.7781550099999777,0.7731732311969768
PerSource,Source2,40,0.757219337322359,0.7594353017188268
PerSource,Source2,45,0.7343327739305605,0.7421784420417155
PerSource,Source2,50,0.7408933548283483,0.7226839670062595
PerSource,Source2,55,0.6996335575553125,0.7014890127764072
PerSource,Source2,60,0.6684636833781699,0.678036569127554
PerSource,Source2,65,0.6470630045755794,0.6537217210247129
PerSource,Source2,70,0.6312060613738073,0.6292990995671446
PerSource,Source2,75,0.6138086580563533,0.6032879537157402
PerSource,Source2,80,0.5679423721492589,0.575122087094873
PerSource,Source2,85,0.5545914933745707,0.545429442146913
PerSource,Source2,90,0.5187262713171703,0.5140432388563149
PerSource,Source2,95,0.47013056790552216,0.4808599761731294
PerSource,Source2,100,0.44862382414113167,0.44594616671749643
Common,Source3,5,0.008203951267398993,0.00707671699687183
Common,Source3,7,0.006456710179041938,0.006867788712539441
Common,Source3,10,0.006625474596525984,0.0065930289040527605
Common,Source3,15,0.005270151979741912,0.006258406835287373
Common,Source3,20,0.0050996745216263396,0.006044585848938758
Common,Source3,25,0.005582782632979491,0.005916509364222992
Common,Source3,30,0.006472900707922644,0.005952648843046291
Common,Source3,35,0.006510577428372661,0.006135972615826076
Common,Source3,40,0.007150528628969215,0.006288169404545232
Common,Source3,45,0.005388080237376242,0.006268368707437483
Common,Source3,50,0.005842364674426271,0.006239581108179526
Common,Source3,55,0.006537858355860743,0.006369441198403309
Common,Source3,60,0.006550016387847633,0.00655846806532685
Common,Source3,65,0.006235554794183341,0.006683498802476626
Common,Source3,70,0.007104525683570285,0.006719421720384618
Common,Source3,75,0.007360033351183108,0.0066713023881343385
Common,Source3,80,0.0063216152870911955,0.006519203579868286
Common,Source3,85,0.006293659414970944,0.006287763965343835
Common,Source3,90,0.005730880500983018,0.005965950369337071
Common,Source3,95,0.005333329205704675,0.005549229380767777
Common,Source3,100,0.005286690730434727,0.005043786419049519
PerSource,Source3,5,0.010090991003759788,4.96466279704731e-4
PerSource,Source3,7,0.008161113097040151,0.00505768768002329
PerSource,Source3,10,0.008628449523359937,0.01280511508031581
PerSource,Source3,15,0.00902678746899823,0.028298471086402235
PerSource,Source3,20,0.03876828863139676,0.04675380015026115
PerSource,Source3,25,0.08399061726504385,0.06788040648782918
PerSource,Source3,30,0.09468399154404286,0.09285867569902093
PerSource,Source3,35,0.11349238454487531,0.12130417992122007
PerSource,Source3,40,0.14190211635419359,0.15057900317656686
PerSource,Source3,45,0.19581018292285607,0.1813546564699216
PerSource,Source3,50,0.19876690085761653,0.21227931698283137
PerSource,Source3,55,0.24939179977935977,0.24128999600984466
PerSource,Source3,60,0.2768102031757894,0.26989527669194757
PerSource,Source3,65,0.30422037399213253,0.29777960008596704
PerSource,Source3,70,0.3186634113471271,0.32342078397070045
PerSource,Source3,75,0.33816561092243713,0.3500891057158133
PerSource,Source3,80,0.38464192227007776,0.3798896018084407
PerSource,Source3,85,0.4001241592217615,0.4107786178658843
PerSource,Source3,90,0.4327676211316851,0.44340624802652323
PerSource,Source3,95,0.4840749750201069,0.47808161127954985
PerSource,Source3,100,0.5196803389668052,0.5144878922107957
