GenotypeModel,AttributionModel,Source,UR2006_num,m,lci,uci,ucl,lcl
Dirichlet,Linear,Poultry,3,0.6143984241578448,0.5468745424384761,0.6858691475179861,0.6388178198159682,0.5904710714228899
Dirichlet,Linear,Ruminants,-3,0.6553259746602987,0.5195263200931968,0.7664893247048585,0.6951879522487763,0.6123795570810477
Dirichlet,Linear,Ruminants,-2,0.6202076567256892,0.5174263120672469,0.7171665272043687,0.653836531871749,0.5860065525966803
Dirichlet,Linear,Ruminants,-1,0.5762905308190038,0.4912417405415287,0.6587957155815636,0.6044680094803886,0.5475487392837368
Dirichlet,Linear,Ruminants,0,0.5284417841272326,0.4581348567817446,0.5975895353822267,0.5517860703736699,0.5046440620969959
Dirichlet,Linear,Ruminants,1,0.47931315323780355,0.4175171067878852,0.5385323083455568,0.5004895729380512,0.4584137498376555
Dirichlet,Linear,Ruminants,2,0.43024502416736765,0.36620811177680707,0.4894452162304982,0.45112365103160046,0.4085797945552907
Dirichlet,Linear,Ruminants,3,0.38160587405593616,0.3111780298941156,0.449887697433029,0.40574117291920186,0.35762627993160157
Dirichlet,Linear,Water,-3,0.006867880503362959,1.1037353463892526e-4,0.08470781661294775,0.018331456413162535,0.002222337362672902
Dirichlet,Linear,Water,-2,0.00508428333858134,1.8239676366937823e-4,0.037465282302622915,0.011217244581309743,0.0020173248468741047
Dirichlet,Linear,Water,-1,0.003620919952531956,2.9558552701978617e-4,0.01898630484756789,0.007056495112846868,0.0017160101652718472
Dirichlet,Linear,Water,0,0.002558630285457249,3.209003768072555e-4,0.012994905133885432,0.004712451735189207,0.0013428579641227615
Dirichlet,Linear,Water,1,0.0019862302762700887,1.9724552382378814e-4,0.0101901256044456,0.00361594246146286,9.301880319124408e-4
Dirichlet,Linear,Water,2,0.0015275920940116935,7.320150919364468e-5,0.00966828260815537,0.003215780310835791,5.905088307776384e-4
Dirichlet,Linear,Water,3,0.0011777158358296214,2.247142233308377e-5,0.01059013587782908,0.0029258741554972463,3.6082042135364943e-4
Island,Categorical,Other,-3,0.0065662492160767985,5.389229652040608e-5,0.10874415695029564,0.022474754575875864,0.0016189985337752798
Island,Categorical,Other,-2,0.0035576950905313477,3.427633911592842e-6,0.06386576697887851,0.016320080469623487,4.0984083367684676e-4
Island,Categorical,Other,-1,0.004121895115893141,2.178462778836622e-6,0.0590380147508425,0.017561817910294826,3.492600558018968e-4
Island,Categorical,Other,0,6.507293148663999e-4,3.481200144357382e-7,0.044460208594964024,0.0050956069205180645,5.701266395665945e-5
Island,Categorical,Other,1,0.018232066104619082,5.367581662516097e-6,0.08656035215037747,0.041299381199827886,0.0017867746446106848
