Source,UR2006,Season,Model,m,lci,uci,ucl,lcl
Poultry,Urban,Spring,Dirichlet,0.5761617981968785,0.48185813092535423,0.6668056487988371,0.6080518769218504,0.5443346873010515
Poultry,Urban,Spring,Island,0.5401297680378937,0.4609875037879725,0.6192677702813328,0.5674309262289864,0.5136543415961627
Poultry,Urban,Summer,Dirichlet,0.7256416122227001,0.6097497932143842,0.8369498144467474,0.766755986521726,0.6862479414051861
Poultry,Urban,Summer,Island,0.6855630382659004,0.5962357415312092,0.7690193316488368,0.7156664783235077,0.6555585544174529
Poultry,Urban,Winter,Dirichlet,0.49518733567004947,0.3856316720520752,0.6061736734993651,0.5336912239132892,0.4582812576770028
Poultry,Urban,Winter,Island,0.4558242143948396,0.3647697228269951,0.5465843297579427,0.48783404455980584,0.42464784326097876
Ruminants,Rural,Autumn,Dirichlet,0.6310500274850991,0.4176686431139693,0.8154230571016174,0.6993118032074028,0.5609452456963568
Ruminants,Rural,Autumn,Island,0.6226331910546716,0.4336444964633276,0.7874999912432542,0.6836609901684135,0.5567155755708135
Ruminants,Rural,Spring,Dirichlet,0.6434419668569413,0.5057637967105132,0.7745574657877273,0.6889244170987723,0.5958397851890072
Ruminants,Rural,Spring,Island,0.6526543996506456,0.5354060423717429,0.7618641172907584,0.6918724640198995,0.6125079052160276
Ruminants,Rural,Summer,Dirichlet,0.2565862805200572,0.10150937683553227,0.4214563579735795,0.31173818845104845,0.2012887804616057
Ruminants,Rural,Summer,Island,0.31392447752679226,0.18665686745055582,0.4491039865281521,0.36024839920348467,0.2682718665732468
Ruminants,Rural,Winter,Dirichlet,0.7100009408178183,0.5255250876072317,0.8742206173058039,0.7693006098938321,0.6465670268392775
Ruminants,Rural,Winter,Island,0.7242819111755974,0.569475639904275,0.8548474352808455,0.7725066000219765,0.6732240594362494
Ruminants,Urban,Autumn,Dirichlet,0.6242604045118776,0.49110097107902095,0.7457590068436537,0.6677119147906296,0.5778518105376317
Ruminants,Urban,Autumn,Island,0.6509211447249368,0.5345035428731967,0.7579189689144147,0.6890894188286096,0.6111721903000231
Ruminants,Urban,Spring,Dirichlet,0.4219662633323401,0.330988146354786,0.5168258767205659,0.4538181420222853,0.390011794022559
Ruminants,Urban,Spring,Island,0.4327957179251991,0.355917344053485,0.5115130580094024,0.45906728890224335,0.4063300759345287
Ruminants,Urban,Summer,Dirichlet,0.26793676599570043,0.16024774264800268,0.38169602096366684,0.3072940691498276,0.22833265004116823
Ruminants,Urban,Summer,Island,0.28502817489398913,0.20373107537932203,0.37188814911111046,0.3138124530242474,0.25700375334655934
Ruminants,Urban,Winter,Dirichlet,0.5026627365214572,0.3919468716862718,0.6119287648996979,0.5397918521696861,0.4640332831472773
Ruminants,Urban,Winter,Island,0.48100086100637474,0.3895832840151851,0.5728609222384617,0.5126994487378522,0.44860452513221116
Water,Rural,Autumn,Dirichlet,0.008432378796387372,5.498368854957785e-4,0.0534314191830004,0.017270204556590788,0.003334418059258918
Water,Rural,Autumn,Island,0.016175101543019488,0.002229454863464339,0.06174748780240243,0.02700299365662294,0.009176950747614774
Water,Rural,Spring,Dirichlet,0.001351533954119751,3.1180640917421284e-5,0.022960099062993365,0.0042662854213674295,3.6196606673457855e-4
Water,Rural,Spring,Island,0.00869554055101929,3.500684428320685e-4,0.04676924347719649,0.017537126043474127,0.003663160282995766
Water,Rural,Summer,Dirichlet,0.002173603926128642,3.46511298713841e-5,0.047503989402719285,0.007304508125560613,5.605677513199642e-4
Water,Rural,Summer,Island,0.012958183463186506,3.9051865289029154e-4,0.06684213182085456,0.025981195211451476,0.005181259846780543
Water,Rural,Winter,Dirichlet,0.002062104726077662,2.631131300955183e-5,0.051998404126280755,0.006948308561418158,4.7007542027740286e-4
Water,Rural,Winter,Island,0.03384390948762417,0.0013932800177039182,0.1168463037018542,0.05638802294950136,0.0158751824524829
Water,Urban,Autumn,Dirichlet,0.0014102598507931428,4.075761398980453e-5,0.01729040491363273,0.003777353019135152,4.7134241041294243e-4
Water,Urban,Autumn,Island,0.007705353409364719,2.279114546907523e-4,0.040651680891116496,0.016118923429088727,0.002665747923328896
Water,Urban,Spring,Dirichlet,1.1924143475499816e-4,4.3303101977533214e-7,0.008479015158904965,6.5342879588373e-4,1.7305318884373966e-5
Water,Urban,Spring,Island,0.0034295734493946122,2.811942946964611e-5,0.030452815249750007,0.009816077716917507,7.229507851541856e-4
Water,Urban,Summer,Dirichlet,2.1640740228922223e-4,6.540909374074687e-7,0.01696323707660686,0.0012376681376364547,3.355156897730006e-5
Water,Urban,Summer,Island,0.009930949670638213,3.27633740882483e-5,0.04639865293343237,0.021188579176167986,0.0019476831684883686
Water,Urban,Winter,Dirichlet,2.4461852032960443e-4,1.0356792124909787e-6,0.014620888514626808,0.0012548492110113375,4.062866972540422e-5
Water,Urban,Winter,Island,0.03154942868590722,1.0760904755630425e-4,0.09221851787818919,0.05409044963764328,0.0074591340185652
