"DamID","LambID","Datebirth","Rank","Sex","BirthWeight","Feed","Shorn"
"359/94",233,"20/8","Twin","Female",4.5,"MM","Yes"
"139/95",183,"16/8","Twin","Female",5.6,"MM","Yes"
"139/95",184,"16/8","Twin","Male",6.25,"MM","Yes"
"575/93",127,"11/8","Single","Female",5,"MM","No"
"252/95",146,"16/8","Single","Male",5.55,"MM","No"
"168/94",148,"16/8","Single","Female",3.65,"MM","No"
"144/95",206,"17/8","Single","Female",5.8,"MM","No"
"99/94",212,"18/8","Single","Male",6.1,"MM","No"
"423/95",213,"18/8","Single","Female",NA,"MM","No"
"216/95",214,"18/8","Single","Male",7.05,"MM","No"
"270/95",229,"20/8","Single","Male",6,"MM","No"
"401/94",235,"20/8","Single","Male",6.8,"MM","No"
"207/94",131,"14/8","Twin","Female",5.05,"MM","No"
"207/94",132,"14/8","Twin","Male",5,"MM","No"
"609/93",160,"16/8","Twin","Male",4.5,"MM","No"
"609/93",161,"16/8","Twin","Female",4.5,"MM","No"
"105/94",162,"16/8","Twin","Female",4.5,"MM","No"
"105/94",163,"16/8","Twin","Female",5,"MM","No"
"501/95",168,"16/8","Twin","Male",5.3,"MM","No"
"501/95",169,"16/8","Twin","Male",5.35,"MM","No"
"37/95",180,"16/8","Twin","Male",5.25,"MM","No"
"37/95",181,"16/8","Twin","Female",4.5,"MM","No"
"57/93",187,"17/8","Twin","Male",4.25,"MM","No"
"57/93",188,"17/8","Twin","Female",4.1,"MM","No"
"293/94",224,"19/8","Twin","Female",5.3,"MM","No"
"293/94",225,"19/8","Twin","Male",5.75,"MM","No"
"357/93",226,"19/8","Twin","Male",3.4,"MM","No"
"357/93",227,"19/8","Twin","Female",3.23,"MM","No"
