identity,Age,UR2006_num,p,Source,GenotypeModel,AttributionModel
6982,0-5,3,0.17775977211430816,Ruminants,Island,Linear
7149,0-5,3,0.2411795890125532,Ruminants,Island,Linear
7724,0-5,3,0.23775226597301757,Ruminants,Island,Linear
8520,0-5,3,0.234984005851164,Ruminants,Island,Linear
9054,0-5,3,0.18331603740777297,Ruminants,Island,Linear
9635,0-5,3,0.2928567090764129,Ruminants,Island,Linear
9903,0-5,3,0.3168297482617723,Ruminants,Island,Linear
9996,0-5,3,0.2160316398998062,Ruminants,Island,Linear
358,"[5, Inf)",0,0.505691819844903,Ruminants,Island,Linear
1642,"[5, Inf)",0,0.5213977648275971,Ruminants,Island,Linear
1685,"[5, Inf)",0,0.5227457353250934,Ruminants,Island,Linear
2495,"[5, Inf)",0,0.5539292125723811,Ruminants,Island,Linear
2765,"[5, Inf)",0,0.5498024715217713,Ruminants,Island,Linear
3958,"[5, Inf)",0,0.5130602624967708,Ruminants,Island,Linear
4322,"[5, Inf)",0,0.5593554815920958,Ruminants,Island,Linear
4764,"[5, Inf)",0,0.5988336930869843,Ruminants,Island,Linear
4832,"[5, Inf)",0,0.5272060027375852,Ruminants,Island,Linear
5903,"[5, Inf)",0,0.4969480823195312,Ruminants,Island,Linear
6097,"[5, Inf)",0,0.5554431074759091,Ruminants,Island,Linear
6596,"[5, Inf)",0,0.49799432075700995,Ruminants,Island,Linear
6982,"[5, Inf)",0,0.5249882318011481,Ruminants,Island,Linear
7149,"[5, Inf)",0,0.5203790614170964,Ruminants,Island,Linear
7724,"[5, Inf)",0,0.5734059175945314,Ruminants,Island,Linear
8520,"[5, Inf)",0,0.5073432191727304,Ruminants,Island,Linear
9054,"[5, Inf)",0,0.5561534257686684,Ruminants,Island,Linear
9635,"[5, Inf)",0,0.5136090621421969,Ruminants,Island,Linear
9903,"[5, Inf)",0,0.5190856212353032,Ruminants,Island,Linear
9996,"[5, Inf)",0,0.5619873086333942,Ruminants,Island,Linear
358,0-5,2,0.40985621561944174,Ruminants,Island,Linear
1642,0-5,2,0.2202251588877502,Ruminants,Island,Linear
1685,0-5,2,0.2672114173512932,Ruminants,Island,Linear
2495,0-5,2,0.21919767379247795,Ruminants,Island,Linear
2765,0-5,2,0.36879330011880246,Ruminants,Island,Linear
3958,0-5,2,0.2287255672780888,Ruminants,Island,Linear
4322,0-5,2,0.311378488462747,Ruminants,Island,Linear
4764,0-5,2,0.3580633775016731,Ruminants,Island,Linear
4832,0-5,2,0.30788488327031127,Ruminants,Island,Linear
