GenotypeModel,AttributionModel,Source,UR2006_num,Age,m,li,lc,uc,ui
Dirichlet,Linear,Ruminants,-1,5+,0.561501218703962,0.485492911525271,0.5311207591077075,0.5919168905181551,0.6367963899738633
Dirichlet,Linear,Ruminants,-1,<5,0.6310711582115253,0.4806397486660027,0.5705359714470796,0.6916215694346903,0.7766123196952377
Dirichlet,Linear,Ruminants,0,5+,0.5217479081547706,0.4601701699657395,0.49707315589729756,0.5464799260892522,0.5823917037998261
Dirichlet,Linear,Ruminants,0,<5,0.5403254022083436,0.4032194394177582,0.4836946567222234,0.5962811661197378,0.676632359615481
Dirichlet,Linear,Ruminants,1,5+,0.4809326516652614,0.42806235330352804,0.4597362635355686,0.5021121221207724,0.5319210611572546
Dirichlet,Linear,Ruminants,1,<5,0.4427747356135629,0.2986553058406485,0.38763527798596253,0.5014715855982099,0.5778116633192873
Dirichlet,Linear,Ruminants,2,5+,0.4400948868686458,0.38828401408390734,0.41896378475525403,0.46181395363010835,0.4907062323794638
Dirichlet,Linear,Ruminants,2,<5,0.35010110955350887,0.1951107957938678,0.2874619607897754,0.4148352595042323,0.4994354453240275
Dirichlet,Linear,Ruminants,3,5+,0.3999935707572722,0.33973195141381796,0.3753849924714848,0.42514111977471275,0.4582867938519439
Dirichlet,Linear,Ruminants,3,<5,0.2702465730948579,0.11410842427571076,0.19986835270238126,0.3374404747847281,0.43817939528538563
Dirichlet,Linear,Water,-3,5+,0.009508812899095366,2.039295392737428e-10,4.183392272119847e-7,0.0018203398644431972,0.052054512041608166
Dirichlet,Linear,Water,-3,<5,0.016521206400454357,1.3218884389837408e-7,2.6751295186237123e-5,0.007454062533379482,0.09348329714802844
Dirichlet,Linear,Water,-2,5+,9.854106888371244e-4,1.5165003933606549e-9,5.79153324828363e-7,3.9415818390508965e-4,0.005390602295279935
Dirichlet,Linear,Water,-2,<5,0.004150119398778114,6.929665950021008e-7,4.0162904770668474e-5,0.0030554164187523653,0.0213745042047621
Dirichlet,Linear,Water,-1,5+,2.4217895850857967e-4,7.419165131018987e-9,6.508456505701911e-7,9.793291897634894e-5,0.0011765864103069328
Dirichlet,Linear,Water,-1,<5,0.001703365536474352,2.3952221286578216e-6,4.951708393818227e-5,0.0014342980067138704,0.008080789182359258
Dirichlet,Linear,Water,0,5+,1.189914521207276e-4,1.1843952850424275e-8,4.6784508307801687e-7,4.1828500815614484e-5,5.461837749153343e-4
Dirichlet,Linear,Water,0,<5,0.001134243945857488,3.3891557630872946e-6,4.055851578880024e-5,9.08692009889996e-4,0.0053120130772923175
Dirichlet,Linear,Water,1,5+,9.788420720834427e-5,2.4033603622957246e-9,2.2954532456266844e-7,3.394795098302888e-5,4.57657011296741e-4
Dirichlet,Linear,Water,1,<5,0.0011212965016532696,1.2039299295783535e-6,2.7054607189096324e-5,8.823857174199043e-4,0.005319767689478513
Dirichlet,Linear,Water,2,5+,1.3910028482215986e-4,1.8228068435575906e-10,7.483304300576643e-8,5.084159141390098e-5,7.139269392687174e-4
Dirichlet,Linear,Water,2,<5,0.0016166399290470236,1.645023399677695e-7,1.2951543267258492e-5,0.0011689651477941566,0.008257249543748702
Dirichlet,Linear,Water,3,5+,4.4299895576525964e-4,8.697959353740315e-12,1.836391663406003e-8,9.475892724392008e-5,0.0023254209409129143
Dirichlet,Linear,Water,3,<5,0.0035892249716740405,1.884999923798671e-8,4.767300569063251e-6,0.001784762217926617,0.019289582472536503
Island,Linear,Other,-3,5+,0.02437835058489864,6.040708740658677e-4,0.007112675108674296,0.03473198606478121,0.06768833838183574
Island,Linear,Other,-3,<5,0.02641028496262516,0.0011532427715038292,0.005370442018065647,0.0349101089432093,0.09140052413515952
Island,Linear,Other,-2,5+,0.024075116930931926,0.0010167681461591444,0.008608678838195171,0.03529244590949361,0.05928888744682988
Island,Linear,Other,-2,<5,0.026649221404285123,0.0022325800815942163,0.007955680844368984,0.037230258486177885,0.07869256526158558
Island,Linear,Other,-1,5+,0.024427397991988918,0.0015170671468517478,0.009718903014535736,0.035831427447869074,0.053739772716476356
Island,Linear,Other,-1,<5,0.027187331476684524,0.0039855729857537,0.011023828924858797,0.038147738135262746,0.0691319030804347
Island,Linear,Other,0,5+,0.025383489598000127,0.0020355397512177966,0.01133654251545898,0.037040655948807955,0.05075988066773954
Island,Linear,Other,0,<5,0.028053584396949993,0.005764082646304653,0.013986870154784841,0.037603818042543896,0.06492585206011549
Island,Linear,Other,1,5+,0.026953285917977614,0.0022437706424820896,0.013099494995069108,0.03904252704797627,0.05069065626024663
Island,Linear,Other,1,<5,0.0290669899102984,0.007231581427489757,0.01580932105031073,0.03818224854464383,0.06453916881888913
Island,Linear,Other,2,5+,0.02927670203597891,0.0021984606905937013,0.01572501520193481,0.041604967778527666,0.05383795515956082
Island,Linear,Other,2,<5,0.030250289376767468,0.0064171478147728705,0.015507024299084394,0.04026872199876035,0.06908950764417354
Island,Linear,Other,3,5+,0.03267591703599385,0.0019910276885399623,0.018307277532934027,0.04582306106636171,0.062067010210678154
Island,Linear,Other,3,<5,0.03197508237613512,0.004488377086752408,0.013293041296020424,0.04354647279248253,0.0832324999796043
