"Year","DHB","Population","Month","Count","PopulationInterpolated"
2015,"Hawke's Bay",160500,"April",8,160217
1997,"Whanganui",NA,"April",6,NA
1998,"Whanganui",NA,"April",5,NA
1999,"Whanganui",NA,"April",5,NA
2000,"Whanganui",NA,"April",1,NA
2001,"Whanganui",NA,"April",2,NA
2002,"Whanganui",NA,"April",5,NA
2003,"Whanganui",NA,"April",4,NA
2004,"Whanganui",NA,"April",6,NA
2005,"Whanganui",NA,"April",11,NA
2006,"Whanganui",64000,"April",13,64155
2007,"Whanganui",63500,"April",9,63607
2008,"Whanganui",63200,"April",0,63255
2009,"Whanganui",63100,"April",8,63112
2010,"Whanganui",63100,"April",7,63092
2011,"Whanganui",63000,"April",7,63079
2012,"Whanganui",62400,"April",3,62530
2013,"Whanganui",62300,"April",3,62305
2014,"Whanganui",62200,"April",9,62210
1997,"MidCentral",NA,"April",16,NA
1998,"MidCentral",NA,"April",30,NA
1999,"MidCentral",NA,"April",11,NA
2000,"MidCentral",NA,"April",10,NA
2001,"MidCentral",NA,"April",3,NA
2002,"MidCentral",NA,"April",15,NA
2003,"MidCentral",NA,"April",12,NA
2004,"MidCentral",NA,"April",20,NA
2005,"MidCentral",NA,"April",18,NA
2006,"MidCentral",164000,"April",17,163978
2007,"MidCentral",164100,"April",14,164064
2008,"MidCentral",164500,"April",9,164342
2009,"MidCentral",165500,"April",15,165224
2010,"MidCentral",166600,"April",13,166312
2011,"MidCentral",167800,"April",8,167523
2012,"MidCentral",168500,"April",12,168388
2013,"MidCentral",168900,"April",10,168739
2014,"MidCentral",170300,"April",11,169872
1997,"Hutt Valley",NA,"April",23,NA
1998,"Hutt Valley",NA,"April",43,NA
1999,"Hutt Valley",NA,"April",21,NA
2000,"Hutt Valley",NA,"April",7,NA
2001,"Hutt Valley",NA,"April",13,NA
2002,"Hutt Valley",NA,"April",15,NA
2003,"Hutt Valley",NA,"April",36,NA
2004,"Hutt Valley",NA,"April",23,NA
2005,"Hutt Valley",NA,"April",19,NA
2006,"Hutt Valley",140900,"April",25,140617
2007,"Hutt Valley",141200,"April",25,141215
2008,"Hutt Valley",141100,"April",13,141078
2009,"Hutt Valley",141700,"April",26,141513
2010,"Hutt Valley",142400,"April",24,142225
2011,"Hutt Valley",142900,"April",14,142855
2012,"Hutt Valley",142500,"April",14,142624
2013,"Hutt Valley",142500,"April",4,142404
2014,"Hutt Valley",143400,"April",10,143146
1997,"Capital and Coast",NA,"April",53,NA
1998,"Capital and Coast",NA,"April",110,NA
1999,"Capital and Coast",NA,"April",48,NA
2000,"Capital and Coast",NA,"April",55,NA
2001,"Capital and Coast",NA,"April",62,NA
2002,"Capital and Coast",NA,"April",44,NA
2003,"Capital and Coast",NA,"April",84,NA
2004,"Capital and Coast",NA,"April",77,NA
2005,"Capital and Coast",NA,"April",67,NA
2006,"Capital and Coast",278000,"April",87,277117
2007,"Capital and Coast",280500,"April",61,279989
2008,"Capital and Coast",282500,"April",40,281934
2009,"Capital and Coast",285300,"April",48,284605
2010,"Capital and Coast",287700,"April",42,287090
2011,"Capital and Coast",290400,"April",39,289755
2012,"Capital and Coast",292200,"April",43,291865
2013,"Capital and Coast",293500,"April",25,293062
2014,"Capital and Coast",296700,"April",24,295733
1997,"Wairarapa",NA,"April",7,NA
1998,"Wairarapa",NA,"April",3,NA
1999,"Wairarapa",NA,"April",5,NA
2000,"Wairarapa",NA,"April",7,NA
2001,"Wairarapa",NA,"April",1,NA
2002,"Wairarapa",NA,"April",3,NA
2003,"Wairarapa",NA,"April",6,NA
2004,"Wairarapa",NA,"April",4,NA
2005,"Wairarapa",NA,"April",6,NA
2006,"Wairarapa",39600,"April",2,39609
2007,"Wairarapa",39800,"April",2,39721
2008,"Wairarapa",40200,"April",2,40099
2009,"Wairarapa",40600,"April",2,40488
2010,"Wairarapa",41200,"April",6,41035
2011,"Wairarapa",41800,"April",3,41675
2012,"Wairarapa",42100,"April",7,42039
2013,"Wairarapa",42400,"April",5,42314
2014,"Wairarapa",42800,"April",1,42695
1997,"Nelson Marlborough",NA,"April",13,NA
1998,"Nelson Marlborough",NA,"April",8,NA
1999,"Nelson Marlborough",NA,"April",9,NA
2000,"Nelson Marlborough",NA,"April",10,NA
2001,"Nelson Marlborough",NA,"April",5,NA
2002,"Nelson Marlborough",NA,"April",9,NA
2003,"Nelson Marlborough",NA,"April",18,NA
2004,"Nelson Marlborough",NA,"April",16,NA
2005,"Nelson Marlborough",NA,"April",15,NA
2006,"Nelson Marlborough",133600,"April",21,133408
2007,"Nelson Marlborough",134600,"April",17,134322
2008,"Nelson Marlborough",135800,"April",14,135497
2009,"Nelson Marlborough",137000,"April",10,136695
2010,"Nelson Marlborough",138500,"April",16,138049
2011,"Nelson Marlborough",140500,"April",15,140074
2012,"Nelson Marlborough",141300,"April",16,141157
2013,"Nelson Marlborough",142100,"April",8,141879
2014,"Nelson Marlborough",143100,"April",18,142810
1997,"West Coast",NA,"April",7,NA
1998,"West Coast",NA,"April",4,NA
1999,"West Coast",NA,"April",3,NA
2000,"West Coast",NA,"April",6,NA
2001,"West Coast",NA,"April",3,NA
2002,"West Coast",NA,"April",2,NA
2003,"West Coast",NA,"April",4,NA
2004,"West Coast",NA,"April",4,NA
2005,"West Coast",NA,"April",0,NA
2006,"West Coast",32100,"April",6,31990
2007,"West Coast",32300,"April",4,32276
2008,"West Coast",32400,"April",6,32355
2009,"West Coast",32700,"April",3,32637
2010,"West Coast",32800,"April",3,32765
2011,"West Coast",33100,"April",2,33035
2012,"West Coast",33100,"April",2,33121
2013,"West Coast",33000,"April",4,33034
2014,"West Coast",32800,"April",6,32851
1997,"Canterbury",NA,"April",114,NA
1998,"Canterbury",NA,"April",116,NA
1999,"Canterbury",NA,"April",91,NA
2000,"Canterbury",NA,"April",152,NA
2001,"Canterbury",NA,"April",37,NA
2002,"Canterbury",NA,"April",83,NA
2003,"Canterbury",NA,"April",81,NA
2004,"Canterbury",NA,"April",102,NA
2005,"Canterbury",NA,"April",103,NA
2006,"Canterbury",483400,"April",99,481395
2007,"Canterbury",490500,"April",110,488825
2008,"Canterbury",496700,"April",68,495246
2009,"Canterbury",503200,"April",40,501203
2010,"Canterbury",509900,"April",67,509483
2011,"Canterbury",500900,"April",57,503596
2012,"Canterbury",497200,"April",62,497023
2013,"Canterbury",503700,"April",36,501446
2014,"Canterbury",514500,"April",54,511615
1997,"South Canterbury",NA,"April",14,NA
1998,"South Canterbury",NA,"April",6,NA
1999,"South Canterbury",NA,"April",7,NA
2000,"South Canterbury",NA,"April",11,NA
2001,"South Canterbury",NA,"April",12,NA
2002,"South Canterbury",NA,"April",10,NA
2003,"South Canterbury",NA,"April",15,NA
2004,"South Canterbury",NA,"April",19,NA
2005,"South Canterbury",NA,"April",21,NA
2006,"South Canterbury",55100,"April",16,55037
2007,"South Canterbury",55300,"April",16,55255
2008,"South Canterbury",55500,"April",13,55443
2009,"South Canterbury",55800,"April",7,55716
2010,"South Canterbury",56200,"April",13,56087
2011,"South Canterbury",56700,"April",9,56581
2012,"South Canterbury",57100,"April",12,56997
2013,"South Canterbury",57600,"April",6,57469
2014,"South Canterbury",58100,"April",11,57977
1997,"Northland",NA,"April",11,NA
1998,"Northland",NA,"April",16,NA
1999,"Northland",NA,"April",9,NA
2000,"Northland",NA,"April",10,NA
2001,"Northland",NA,"April",9,NA
2002,"Northland",NA,"April",19,NA
2003,"Northland",NA,"April",20,NA
2004,"Northland",NA,"April",12,NA
2005,"Northland",NA,"April",18,NA
2006,"Northland",152700,"April",21,152149
2007,"Northland",154600,"April",6,154158
2008,"Northland",156300,"April",14,155875
2009,"Northland",158200,"April",13,157672
2010,"Northland",160600,"April",14,160000
2011,"Northland",162500,"April",7,162125
2012,"Northland",163500,"April",14,163264
2013,"Northland",164700,"April",9,164388
2014,"Northland",166000,"April",10,165628
1997,"Waitemata",NA,"April",86,NA
1998,"Waitemata",NA,"April",90,NA
1999,"Waitemata",NA,"April",62,NA
2000,"Waitemata",NA,"April",38,NA
2001,"Waitemata",NA,"April",68,NA
2002,"Waitemata",NA,"April",67,NA
2003,"Waitemata",NA,"April",116,NA
2004,"Waitemata",NA,"April",80,NA
2005,"Waitemata",NA,"April",94,NA
2006,"Waitemata",504700,"April",113,502524
2007,"Waitemata",511700,"April",67,510150
2008,"Waitemata",517400,"April",47,515980
2009,"Waitemata",523600,"April",49,521971
2010,"Waitemata",530700,"April",56,528823
2011,"Waitemata",538500,"April",45,536598
2012,"Waitemata",545400,"April",54,543717
2013,"Waitemata",552800,"April",44,550783
2014,"Waitemata",562600,"April",39,559873
1997,"Southern",NA,"April",73,NA
1998,"Southern",NA,"April",59,NA
1999,"Southern",NA,"April",32,NA
2000,"Southern",NA,"April",83,NA
2001,"Southern",NA,"April",28,NA
2002,"Southern",NA,"April",53,NA
2003,"Southern",NA,"April",48,NA
2004,"Southern",NA,"April",63,NA
2005,"Southern",NA,"April",101,NA
2006,"Southern",294600,"April",71,294331
2007,"Southern",295700,"April",65,295415
2008,"Southern",297000,"April",36,296642
2009,"Southern",298700,"April",29,298237
2010,"Southern",301000,"April",45,300319
2011,"Southern",303900,"April",37,303301
2012,"Southern",304900,"April",44,304734
2013,"Southern",306400,"April",30,305843
2014,"Southern",309900,"April",43,308896
1997,"Auckland",NA,"April",66,NA
1998,"Auckland",NA,"April",100,NA
1999,"Auckland",NA,"April",84,NA
2000,"Auckland",NA,"April",52,NA
2001,"Auckland",NA,"April",59,NA
2002,"Auckland",NA,"April",77,NA
2003,"Auckland",NA,"April",95,NA
2004,"Auckland",NA,"April",69,NA
2005,"Auckland",NA,"April",79,NA
2006,"Auckland",428300,"April",98,427126
2007,"Auckland",432200,"April",71,431304
2008,"Auckland",436000,"April",36,434942
2009,"Auckland",441000,"April",67,439734
2010,"Auckland",445900,"April",55,444599
2011,"Auckland",451700,"April",32,450296
2012,"Auckland",456000,"April",42,455096
2013,"Auckland",460500,"April",42,458929
2014,"Auckland",471900,"April",37,468351
1997,"Counties Manukau",NA,"April",52,NA
1998,"Counties Manukau",NA,"April",67,NA
1999,"Counties Manukau",NA,"April",32,NA
2000,"Counties Manukau",NA,"April",46,NA
2001,"Counties Manukau",NA,"April",54,NA
2002,"Counties Manukau",NA,"April",46,NA
2003,"Counties Manukau",NA,"April",77,NA
2004,"Counties Manukau",NA,"April",48,NA
2005,"Counties Manukau",NA,"April",51,NA
2006,"Counties Manukau",454800,"April",66,452863
2007,"Counties Manukau",461600,"April",75,460020
2008,"Counties Manukau",467400,"April",22,466008
2009,"Counties Manukau",472900,"April",29,471506
2010,"Counties Manukau",478900,"April",44,477325
2011,"Counties Manukau",485600,"April",38,483898
2012,"Counties Manukau",491500,"April",25,490308
2013,"Counties Manukau",496300,"April",24,494543
2014,"Counties Manukau",509200,"April",35,505520
1997,"Waikato",NA,"April",63,NA
1998,"Waikato",NA,"April",90,NA
1999,"Waikato",NA,"April",41,NA
2000,"Waikato",NA,"April",33,NA
2001,"Waikato",NA,"April",50,NA
2002,"Waikato",NA,"April",30,NA
2003,"Waikato",NA,"April",67,NA
2004,"Waikato",NA,"April",61,NA
2005,"Waikato",NA,"April",44,NA
2006,"Waikato",350200,"April",59,349223
2007,"Waikato",353800,"April",49,352924
2008,"Waikato",357500,"April",30,356512
2009,"Waikato",362000,"April",29,360818
2010,"Waikato",366800,"April",41,365604
2011,"Waikato",371300,"April",42,370246
2012,"Waikato",374800,"April",42,374038
2013,"Waikato",377900,"April",32,376969
2014,"Waikato",383500,"April",43,381885
1997,"Lakes",NA,"April",7,NA
1998,"Lakes",NA,"April",17,NA
1999,"Lakes",NA,"April",13,NA
2000,"Lakes",NA,"April",8,NA
2001,"Lakes",NA,"April",15,NA
2002,"Lakes",NA,"April",12,NA
2003,"Lakes",NA,"April",15,NA
2004,"Lakes",NA,"April",18,NA
2005,"Lakes",NA,"April",12,NA
2006,"Lakes",101500,"April",25,101562
2007,"Lakes",101400,"April",14,101403
2008,"Lakes",101500,"April",8,101465
2009,"Lakes",101800,"April",8,101675
2010,"Lakes",102600,"April",8,102400
2011,"Lakes",103100,"April",11,103008
2012,"Lakes",103300,"April",8,103288
2013,"Lakes",103200,"April",10,103209
2014,"Lakes",103600,"April",8,103431
1997,"Bay of Plenty",NA,"April",8,NA
1998,"Bay of Plenty",NA,"April",22,NA
1999,"Bay of Plenty",NA,"April",15,NA
2000,"Bay of Plenty",NA,"April",12,NA
2001,"Bay of Plenty",NA,"April",18,NA
2002,"Bay of Plenty",NA,"April",13,NA
2003,"Bay of Plenty",NA,"April",31,NA
2004,"Bay of Plenty",NA,"April",16,NA
2005,"Bay of Plenty",NA,"April",31,NA
2006,"Bay of Plenty",200800,"April",35,199933
2007,"Bay of Plenty",203600,"April",21,202978
2008,"Bay of Plenty",205900,"April",12,205323
2009,"Bay of Plenty",208400,"April",11,207756
2010,"Bay of Plenty",211000,"April",18,210348
2011,"Bay of Plenty",213200,"April",18,212785
2012,"Bay of Plenty",213900,"April",14,213773
2013,"Bay of Plenty",215000,"April",8,214619
2014,"Bay of Plenty",217400,"April",19,216656
1997,"Tairawhiti",NA,"April",6,NA
1998,"Tairawhiti",NA,"April",6,NA
1999,"Tairawhiti",NA,"April",0,NA
2000,"Tairawhiti",NA,"April",4,NA
2001,"Tairawhiti",NA,"April",8,NA
2002,"Tairawhiti",NA,"April",6,NA
2003,"Tairawhiti",NA,"April",6,NA
2004,"Tairawhiti",NA,"April",3,NA
2005,"Tairawhiti",NA,"April",10,NA
2006,"Tairawhiti",45900,"April",2,45904
2007,"Tairawhiti",45900,"April",5,45895
2008,"Tairawhiti",46000,"April",3,45960
2009,"Tairawhiti",46300,"April",0,46203
2010,"Tairawhiti",46700,"April",1,46624
2011,"Tairawhiti",46800,"April",2,46776
2012,"Tairawhiti",47000,"April",2,46959
2013,"Tairawhiti",47000,"April",4,47006
2014,"Tairawhiti",47100,"April",3,47057
1997,"Taranaki",NA,"April",8,NA
1998,"Taranaki",NA,"April",13,NA
1999,"Taranaki",NA,"April",9,NA
2000,"Taranaki",NA,"April",8,NA
2001,"Taranaki",NA,"April",8,NA
2002,"Taranaki",NA,"April",13,NA
2003,"Taranaki",NA,"April",13,NA
2004,"Taranaki",NA,"April",15,NA
2005,"Taranaki",NA,"April",8,NA
2006,"Taranaki",107400,"April",29,107386
2007,"Taranaki",107700,"April",22,107588
2008,"Taranaki",108400,"April",10,108185
2009,"Taranaki",109500,"April",14,109196
2010,"Taranaki",110800,"April",17,110472
2011,"Taranaki",112000,"April",4,111727
2012,"Taranaki",112900,"April",7,112693
2013,"Taranaki",113800,"April",5,113546
2014,"Taranaki",115000,"April",6,114698
1997,"Hawke's Bay",NA,"April",10,NA
1998,"Hawke's Bay",NA,"April",39,NA
1999,"Hawke's Bay",NA,"April",24,NA
2000,"Hawke's Bay",NA,"April",8,NA
2001,"Hawke's Bay",NA,"April",30,NA
2002,"Hawke's Bay",NA,"April",25,NA
2003,"Hawke's Bay",NA,"April",20,NA
2004,"Hawke's Bay",NA,"April",24,NA
2005,"Hawke's Bay",NA,"April",21,NA
2006,"Hawke's Bay",152600,"April",27,152302
2007,"Hawke's Bay",153400,"April",22,153240
2008,"Hawke's Bay",154000,"April",14,153842
2009,"Hawke's Bay",155000,"April",15,154659
2010,"Hawke's Bay",156800,"April",19,156365
2011,"Hawke's Bay",157800,"April",20,157657
2012,"Hawke's Bay",158000,"April",31,157957
2013,"Hawke's Bay",158500,"April",15,158330
2014,"Hawke's Bay",159400,"April",14,159148
2015,"Northland",168300,"April",8,167575
2015,"Waitemata",575600,"April",40,572012
2015,"Auckland",490000,"April",23,484900
2015,"Counties Manukau",521700,"April",25,519184
2015,"Waikato",390600,"April",30,388763
2015,"Lakes",104800,"April",11,104412
2015,"Bay of Plenty",221500,"April",15,220294
2015,"Tairawhiti",47400,"April",1,47303
2015,"Taranaki",115900,"April",15,115741
2015,"Hawke's Bay",160500,"April",8,160217
2015,"Whanganui",62600,"April",7,62418
2015,"MidCentral",172100,"April",5,171657
2015,"Hutt Valley",144000,"April",9,143951
2015,"Capital and Coast",301100,"April",25,299944
2015,"Wairarapa",43200,"April",7,43106
2015,"Nelson Marlborough",144800,"April",15,144278
2015,"West Coast",32700,"April",3,32703
2015,"Canterbury",526100,"April",36,523299
2015,"South Canterbury",58600,"April",8,58474
2015,"Southern",314000,"April",36,313007
1997,"Hawke's Bay",NA,"May",25,NA
1998,"Hawke's Bay",NA,"May",41,NA
1999,"Hawke's Bay",NA,"May",34,NA
2000,"Hawke's Bay",NA,"May",24,NA
2001,"Hawke's Bay",NA,"May",24,NA
2002,"Hawke's Bay",NA,"May",23,NA
2003,"Hawke's Bay",NA,"May",33,NA
2004,"Hawke's Bay",NA,"May",29,NA
2005,"Hawke's Bay",NA,"May",40,NA
2006,"Hawke's Bay",152600,"May",40,152407
2007,"Hawke's Bay",153400,"May",37,153295
2008,"Hawke's Bay",154000,"May",18,153893
2009,"Hawke's Bay",155000,"May",18,154764
2010,"Hawke's Bay",156800,"May",10,156516
2011,"Hawke's Bay",157800,"May",31,157712
2012,"Hawke's Bay",158000,"May",23,157969
2013,"Hawke's Bay",158500,"May",16,158383
2014,"Hawke's Bay",159400,"May",15,159231
2015,"Hawke's Bay",160500,"May",18,160311
1997,"Whanganui",NA,"May",7,NA
1998,"Whanganui",NA,"May",7,NA
1999,"Whanganui",NA,"May",9,NA
2000,"Whanganui",NA,"May",3,NA
2001,"Whanganui",NA,"May",5,NA
2002,"Whanganui",NA,"May",10,NA
2003,"Whanganui",NA,"May",10,NA
2004,"Whanganui",NA,"May",8,NA
2005,"Whanganui",NA,"May",6,NA
2006,"Whanganui",64000,"May",19,64102
2007,"Whanganui",63500,"May",17,63570
2008,"Whanganui",63200,"May",5,63235
2009,"Whanganui",63100,"May",13,63107
2010,"Whanganui",63100,"May",3,63094
2011,"Whanganui",63000,"May",3,63059
2012,"Whanganui",62400,"May",1,62481
2013,"Whanganui",62300,"May",10,62305
2014,"Whanganui",62200,"May",10,62203
1997,"MidCentral",NA,"May",8,NA
1998,"MidCentral",NA,"May",24,NA
1999,"MidCentral",NA,"May",8,NA
2000,"MidCentral",NA,"May",13,NA
2001,"MidCentral",NA,"May",11,NA
2002,"MidCentral",NA,"May",15,NA
2003,"MidCentral",NA,"May",15,NA
2004,"MidCentral",NA,"May",12,NA
2005,"MidCentral",NA,"May",24,NA
2006,"MidCentral",164000,"May",32,163986
2007,"MidCentral",164100,"May",24,164074
2008,"MidCentral",164500,"May",9,164389
2009,"MidCentral",165500,"May",18,165316
2010,"MidCentral",166600,"May",27,166406
2011,"MidCentral",167800,"May",24,167619
2012,"MidCentral",168500,"May",11,168430
2013,"MidCentral",168900,"May",27,168784
2014,"MidCentral",170300,"May",24,170012
1997,"Hutt Valley",NA,"May",28,NA
1998,"Hutt Valley",NA,"May",76,NA
1999,"Hutt Valley",NA,"May",13,NA
2000,"Hutt Valley",NA,"May",19,NA
2001,"Hutt Valley",NA,"May",26,NA
2002,"Hutt Valley",NA,"May",23,NA
2003,"Hutt Valley",NA,"May",19,NA
2004,"Hutt Valley",NA,"May",21,NA
2005,"Hutt Valley",NA,"May",28,NA
2006,"Hutt Valley",140900,"May",73,140724
2007,"Hutt Valley",141200,"May",37,141215
2008,"Hutt Valley",141100,"May",16,141078
2009,"Hutt Valley",141700,"May",22,141575
2010,"Hutt Valley",142400,"May",33,142283
2011,"Hutt Valley",142900,"May",18,142879
2012,"Hutt Valley",142500,"May",11,142580
2013,"Hutt Valley",142500,"May",11,142428
2014,"Hutt Valley",143400,"May",9,143231
1997,"Capital and Coast",NA,"May",49,NA
1998,"Capital and Coast",NA,"May",163,NA
1999,"Capital and Coast",NA,"May",43,NA
2000,"Capital and Coast",NA,"May",68,NA
2001,"Capital and Coast",NA,"May",70,NA
2002,"Capital and Coast",NA,"May",55,NA
2003,"Capital and Coast",NA,"May",60,NA
2004,"Capital and Coast",NA,"May",53,NA
2005,"Capital and Coast",NA,"May",62,NA
2006,"Capital and Coast",278000,"May",138,277426
2007,"Capital and Coast",280500,"May",91,280166
2008,"Capital and Coast",282500,"May",41,282113
2009,"Capital and Coast",285300,"May",41,284843
2010,"Capital and Coast",287700,"May",42,287288
2011,"Capital and Coast",290400,"May",46,289977
2012,"Capital and Coast",292200,"May",33,291984
2013,"Capital and Coast",293500,"May",32,293192
2014,"Capital and Coast",296700,"May",33,296046
1997,"Wairarapa",NA,"May",3,NA
1998,"Wairarapa",NA,"May",3,NA
1999,"Wairarapa",NA,"May",3,NA
2000,"Wairarapa",NA,"May",8,NA
2001,"Wairarapa",NA,"May",2,NA
2002,"Wairarapa",NA,"May",8,NA
2003,"Wairarapa",NA,"May",5,NA
2004,"Wairarapa",NA,"May",2,NA
2005,"Wairarapa",NA,"May",5,NA
2006,"Wairarapa",39600,"May",8,39603
2007,"Wairarapa",39800,"May",2,39745
2008,"Wairarapa",40200,"May",1,40133
2009,"Wairarapa",40600,"May",4,40523
2010,"Wairarapa",41200,"May",4,41090
2011,"Wairarapa",41800,"May",9,41719
2012,"Wairarapa",42100,"May",3,42059
2013,"Wairarapa",42400,"May",7,42342
2014,"Wairarapa",42800,"May",2,42730
1997,"Nelson Marlborough",NA,"May",10,NA
1998,"Nelson Marlborough",NA,"May",16,NA
1999,"Nelson Marlborough",NA,"May",5,NA
2000,"Nelson Marlborough",NA,"May",9,NA
2001,"Nelson Marlborough",NA,"May",3,NA
2002,"Nelson Marlborough",NA,"May",6,NA
2003,"Nelson Marlborough",NA,"May",27,NA
2004,"Nelson Marlborough",NA,"May",15,NA
2005,"Nelson Marlborough",NA,"May",24,NA
2006,"Nelson Marlborough",133600,"May",28,133469
2007,"Nelson Marlborough",134600,"May",17,134413
2008,"Nelson Marlborough",135800,"May",15,135598
2009,"Nelson Marlborough",137000,"May",12,136796
2010,"Nelson Marlborough",138500,"May",9,138192
2011,"Nelson Marlborough",140500,"May",11,140228
2012,"Nelson Marlborough",141300,"May",35,141203
2013,"Nelson Marlborough",142100,"May",6,141952
2014,"Nelson Marlborough",143100,"May",18,142902
1997,"West Coast",NA,"May",5,NA
1998,"West Coast",NA,"May",8,NA
1999,"West Coast",NA,"May",4,NA
2000,"West Coast",NA,"May",2,NA
2001,"West Coast",NA,"May",3,NA
2002,"West Coast",NA,"May",5,NA
2003,"West Coast",NA,"May",8,NA
2004,"West Coast",NA,"May",4,NA
2005,"West Coast",NA,"May",2,NA
2006,"West Coast",32100,"May",0,32030
2007,"West Coast",32300,"May",3,32286
2008,"West Coast",32400,"May",4,32367
2009,"West Coast",32700,"May",1,32661
2010,"West Coast",32800,"May",3,32773
2011,"West Coast",33100,"May",3,33060
2012,"West Coast",33100,"May",8,33114
2013,"West Coast",33000,"May",2,33023
2014,"West Coast",32800,"May",1,32834
1997,"Canterbury",NA,"May",69,NA
1998,"Canterbury",NA,"May",125,NA
1999,"Canterbury",NA,"May",57,NA
2000,"Canterbury",NA,"May",110,NA
2001,"Canterbury",NA,"May",39,NA
2002,"Canterbury",NA,"May",47,NA
2003,"Canterbury",NA,"May",116,NA
2004,"Canterbury",NA,"May",81,NA
2005,"Canterbury",NA,"May",82,NA
2006,"Canterbury",483400,"May",182,482077
2007,"Canterbury",490500,"May",90,489389
2008,"Canterbury",496700,"May",34,495739
2009,"Canterbury",503200,"May",44,501823
2010,"Canterbury",509900,"May",59,509785
2011,"Canterbury",500900,"May",61,502652
2012,"Canterbury",497200,"May",112,497002
2013,"Canterbury",503700,"May",49,502166
2014,"Canterbury",514500,"May",51,512567
1997,"South Canterbury",NA,"May",13,NA
1998,"South Canterbury",NA,"May",17,NA
1999,"South Canterbury",NA,"May",7,NA
2000,"South Canterbury",NA,"May",14,NA
2001,"South Canterbury",NA,"May",10,NA
2002,"South Canterbury",NA,"May",17,NA
2003,"South Canterbury",NA,"May",15,NA
2004,"South Canterbury",NA,"May",11,NA
2005,"South Canterbury",NA,"May",33,NA
2006,"South Canterbury",55100,"May",33,55059
2007,"South Canterbury",55300,"May",12,55270
2008,"South Canterbury",55500,"May",8,55461
2009,"South Canterbury",55800,"May",6,55744
2010,"South Canterbury",56200,"May",7,56123
2011,"South Canterbury",56700,"May",12,56622
2012,"South Canterbury",57100,"May",11,57031
2013,"South Canterbury",57600,"May",13,57513
2014,"South Canterbury",58100,"May",19,58018
1997,"Northland",NA,"May",9,NA
1998,"Northland",NA,"May",15,NA
1999,"Northland",NA,"May",7,NA
2000,"Northland",NA,"May",8,NA
2001,"Northland",NA,"May",8,NA
2002,"Northland",NA,"May",15,NA
2003,"Northland",NA,"May",15,NA
2004,"Northland",NA,"May",18,NA
2005,"Northland",NA,"May",10,NA
2006,"Northland",152700,"May",29,152337
2007,"Northland",154600,"May",26,154307
2008,"Northland",156300,"May",16,156016
2009,"Northland",158200,"May",6,157843
2010,"Northland",160600,"May",8,160203
2011,"Northland",162500,"May",25,162258
2012,"Northland",163500,"May",11,163340
2013,"Northland",164700,"May",7,164493
2014,"Northland",166000,"May",10,165746
1997,"Waitemata",NA,"May",54,NA
1998,"Waitemata",NA,"May",129,NA
1999,"Waitemata",NA,"May",65,NA
2000,"Waitemata",NA,"May",44,NA
2001,"Waitemata",NA,"May",73,NA
2002,"Waitemata",NA,"May",125,NA
2003,"Waitemata",NA,"May",103,NA
2004,"Waitemata",NA,"May",83,NA
2005,"Waitemata",NA,"May",101,NA
2006,"Waitemata",504700,"May",210,503273
2007,"Waitemata",511700,"May",119,510678
2008,"Waitemata",517400,"May",48,516449
2009,"Waitemata",523600,"May",49,522509
2010,"Waitemata",530700,"May",60,529440
2011,"Waitemata",538500,"May",43,537242
2012,"Waitemata",545400,"May",42,544276
2013,"Waitemata",552800,"May",51,551439
2014,"Waitemata",562600,"May",40,560761
1997,"Southern",NA,"May",48,NA
1998,"Southern",NA,"May",72,NA
1999,"Southern",NA,"May",27,NA
2000,"Southern",NA,"May",61,NA
2001,"Southern",NA,"May",38,NA
2002,"Southern",NA,"May",65,NA
2003,"Southern",NA,"May",52,NA
2004,"Southern",NA,"May",56,NA
2005,"Southern",NA,"May",87,NA
2006,"Southern",294600,"May",100,294421
2007,"Southern",295700,"May",66,295509
2008,"Southern",297000,"May",39,296759
2009,"Southern",298700,"May",42,298389
2010,"Southern",301000,"May",32,300535
2011,"Southern",303900,"May",35,303520
2012,"Southern",304900,"May",64,304787
2013,"Southern",306400,"May",28,306012
2014,"Southern",309900,"May",34,309225
1997,"Auckland",NA,"May",63,NA
1998,"Auckland",NA,"May",113,NA
1999,"Auckland",NA,"May",70,NA
2000,"Auckland",NA,"May",51,NA
2001,"Auckland",NA,"May",71,NA
2002,"Auckland",NA,"May",105,NA
2003,"Auckland",NA,"May",81,NA
2004,"Auckland",NA,"May",97,NA
2005,"Auckland",NA,"May",85,NA
2006,"Auckland",428300,"May",184,427530
2007,"Auckland",432200,"May",103,431606
2008,"Auckland",436000,"May",35,435282
2009,"Auckland",441000,"May",44,440161
2010,"Auckland",445900,"May",41,445021
2011,"Auckland",451700,"May",36,450777
2012,"Auckland",456000,"May",33,455408
2013,"Auckland",460500,"May",28,459399
2014,"Auckland",471900,"May",30,469488
1997,"Counties Manukau",NA,"May",49,NA
1998,"Counties Manukau",NA,"May",65,NA
1999,"Counties Manukau",NA,"May",42,NA
2000,"Counties Manukau",NA,"May",44,NA
2001,"Counties Manukau",NA,"May",53,NA
2002,"Counties Manukau",NA,"May",71,NA
2003,"Counties Manukau",NA,"May",53,NA
2004,"Counties Manukau",NA,"May",61,NA
2005,"Counties Manukau",NA,"May",57,NA
2006,"Counties Manukau",454800,"May",157,453521
2007,"Counties Manukau",461600,"May",94,460554
2008,"Counties Manukau",467400,"May",29,466475
