ST,Source,Model,m,lci,uci,ucl,lcl
3960,Ruminants,Island,0.009520123969764482,0.0014313482889271403,0.0265353828733103,0.015695141917239877,0.00501141008531119
3960,Water,Dirichlet,0.16420180766278536,0.006545687627383884,0.590799311889385,0.336394604803942,0.05715492275959709
3960,Water,Island,0.15909782736164052,0.11370229905828122,0.20954754545576268,0.18041994658598426,0.13900914939488562
3961,Other,Dirichlet,0.7076589481245934,0.37113894201059006,0.9268195695818143,0.8242886840599509,0.5666630807603149
3961,Other,Island,0.8032677268013793,0.7528214354455975,0.8502272534813438,0.8245127538868751,0.7820049529048106
3961,Poultry,Dirichlet,0.05203611255877261,0.0020163600024983197,0.2610485744778675,0.12002119238302003,0.016502382230530386
3961,Poultry,Island,0.025541084175467927,0.012769133237676832,0.04435883263380965,0.03303166027847892,0.019284991365919813
3961,Ruminants,Dirichlet,0.07250440769363556,0.002647633514302712,0.33690948270610277,0.1638265932364667,0.02395614903239705
3961,Ruminants,Island,0.009517171701582438,0.001430951818351942,0.026522622394579812,0.015689107651559692,0.00500954560973808
3961,Water,Dirichlet,0.10439633006978177,0.004091228395496279,0.4408877409648685,0.22487308785504773,0.03485475153089817
3961,Water,Island,0.15925261052001935,0.11385838293651081,0.20967448912801095,0.18054869217719793,0.1391531051511798
3962,Other,Dirichlet,0.41935279724056074,0.07536547695652902,0.8257765116549303,0.6150036180269415,0.22912215711273617
3962,Other,Island,0.8036742077369573,0.7533026614755607,0.8505746747348464,0.8248982115460111,0.7824538343801466
3962,Poultry,Dirichlet,0.10381381085802473,0.004033372383395039,0.49297515509326456,0.23108131972986784,0.03362647910502304
3962,Poultry,Island,0.02549953098410852,0.012747247745065526,0.04429309171978028,0.03297236129525472,0.01925190894464611
3962,Ruminants,Dirichlet,0.1481123768005477,0.005388715479963402,0.5705019144824339,0.3108243111197284,0.049780795416616536
3962,Ruminants,Island,0.009494406112720514,0.0014266563026421213,0.026462352374339197,0.015650244813346044,0.0049970879453190495
3962,Water,Dirichlet,0.20602446615348197,0.008527602731026158,0.6674795765454696,0.4028090983616234,0.06996418011307637
3962,Water,Island,0.1589165320153982,0.11356104850270897,0.20925372105572532,0.180209849056956,0.13884905913641374
4009,Other,Dirichlet,0.10325145943061123,0.003909047302385899,0.4221845868581008,0.2228401886358949,0.03472556476451725
4009,Other,Island,0.03194819598056518,0.016434131215501253,0.05349044963167697,0.04084124398237654,0.02440704945850846
4009,Poultry,Dirichlet,0.6026980949336993,0.28577953308649495,0.8845083986056833,0.7411740202611186,0.4566018713337766
4009,Poultry,Island,0.916140982174628,0.8807403735305654,0.9457975580219475,0.9294869116206199,0.9014947955308894
4009,Ruminants,Dirichlet,0.08635871783311419,0.0029720375303095934,0.3845461277244255,0.18718559755865907,0.028586804832758782
4009,Ruminants,Island,0.027172748122401544,0.010361149353522347,0.05160469752886205,0.03702967325561431,0.018908021165716653
4009,Water,Dirichlet,0.12085066879214464,0.0045916518161291725,0.46564363674041476,0.2529138873787109,0.04051510937623733
4009,Water,Island,0.022275914370286698,0.007435570615286265,0.046248119524721194,0.031797906217962184,0.014779995706406621
4011,Other,Dirichlet,0.18528860503062963,0.007867241669761434,0.6311292639060258,0.371729386712428,0.06209979377549439
4011,Other,Island,0.014026407127825373,0.004206068401620245,0.0294846868650003,0.020053601538007206,0.009004603220918232
4011,Poultry,Dirichlet,0.10716828566964495,0.004231627983225621,0.5010437600738284,0.23945127860800638,0.0369805191298092
4011,Poultry,Island,0.01783314980696231,0.004519618986582034,0.03741928665637183,0.02566729387112999,0.011315221851803486
4011,Ruminants,Dirichlet,0.3591445307642282,0.05930081795364792,0.7895581511779755,0.5544882508883644,0.19324115619117646
4011,Ruminants,Island,0.9079093314767834,0.8717589641806472,0.939755641917084,0.92276897414182,0.8925866080584269
4011,Water,Dirichlet,0.21486910400318507,0.00882589541832907,0.6920191091888332,0.41794888303837546,0.07592167333946886
4011,Water,Island,0.058341638748014894,0.032000954354967096,0.09030829947214239,0.07181567627466856,0.04605678984551134
4035,Other,Dirichlet,0.42111333338729984,0.07726331269276918,0.8346228511904865,0.6192588520947045,0.2366104553300156
4035,Other,Island,0.8032579261945954,0.7528087333387566,0.8502804173604956,0.8245829838846565,0.781924754615987
4035,Poultry,Dirichlet,0.10263608653906775,0.003691718116531514,0.4878462307313153,0.23172461064020522,0.03352949551687511
4035,Poultry,Island,0.02559463609328485,0.012806518572881497,0.04447979669233749,0.033092582387119596,0.019327304655393448
4035,Ruminants,Dirichlet,0.1424724646441973,0.0059686577723732466,0.5782803073887117,0.3063048171422193,0.048848342063179645
4035,Ruminants,Island,0.009502760670485477,0.0014269947634595632,0.026504577677331987,0.01565851166566847,0.00499950019081769
4035,Water,Dirichlet,0.20537514492140502,0.008134239283153677,0.67041705434456,0.4008469342632603,0.07261028137794397
4035,Water,Island,0.15922200477633353,0.11373892983476762,0.20976348030836053,0.1805608103956179,0.13904551283785638
4162,Other,Dirichlet,0.42142200360359694,0.07588275095012444,0.8292242411275879,0.6171281935289081,0.2353958102612542
4162,Other,Island,0.8037863479359237,0.753386350682592,0.8506961318905047,0.8250034024737393,0.7825204729350667
4162,Poultry,Dirichlet,0.10405125752987815,0.0038211888931197076,0.4812636544504464,0.2320334037950191,0.03409484452893552
4162,Poultry,Island,0.025519383624416875,0.012767153625884518,0.04433223664609527,0.03300715147744082,0.019270750928184584
4162,Ruminants,Dirichlet,0.14289516295348867,0.00586940414874636,0.5666836561708417,0.3057281085374818,0.04893042829087439
4162,Ruminants,Island,0.009473364458938998,0.0014217056085644097,0.02643300345906241,0.015615476009504737,0.0049838099194893385
4162,Water,Dirichlet,0.20320832115827459,0.008550056361563477,0.681106281660637,0.40067438790060533,0.07288406052035788
4162,Water,Island,0.1588065483054255,0.11341261851792332,0.20927561650626025,0.18011981116528195,0.13871306752558216
4336,Other,Dirichlet,0.053538573784197505,0.00847225166741568,0.1630688164873863,0.09236338130990815,0.02678881721242458
4336,Other,Island,0.12226066205686902,0.0899671194957408,0.16096958182063298,0.138260799282787,0.10777751398748149
4336,Poultry,Dirichlet,0.012983055418459104,5.022531197252196e-4,0.06912698362659224,0.03093372195858471,0.004142400169057397
4336,Poultry,Island,0.009566594851327041,0.002631189423782431,0.02326609933726893,0.014881989923376632,0.005726651922361261
4336,Ruminants,Dirichlet,0.018289082037519062,7.530976192047995e-4,0.09350356941530759,0.041963590071498774,0.0059845579066228356
4336,Ruminants,Island,0.011777581885953231,0.0023352002614158178,0.030005411792711743,0.018645553781967195,0.0067169613420073595
4336,Water,Dirichlet,0.9008432883208144,0.77128026077255,0.9693427436170978,0.9373648792879097,0.8532198032862047
4336,Water,Island,0.8540992547540416,0.81340826885356,0.8901917566325614,0.8699853989259522,0.8369834636374458
4337,Other,Dirichlet,0.13913391921972407,0.005165520198575704,0.5329370121236926,0.2840418350004309,0.0468510293855761
4337,Other,Island,0.02454504955866578,0.014380474084980784,0.03750818553916962,0.02977797155128465,0.019928330657518773
