GenotypeModel,AttributionModel,Source,UR2006_num,Intervention,m,li,lc,uc,ui
Dirichlet,Linear,Poultry,1,2008-2014,0.5151371268190607,0.46324827664261614,0.493512436402052,0.5365951095812285,0.5688603932451878
Dirichlet,Linear,Poultry,1,2005-2007,0.7354565073620347,0.6613176485974054,0.7070310771664146,0.7657241203232656,0.8049088129684492
Dirichlet,Linear,Poultry,2,2008-2014,0.5640639966179481,0.5128767321835798,0.5424981005024089,0.5850289706645031,0.6179192928540904
Dirichlet,Linear,Poultry,2,2005-2007,0.8078777196716773,0.7420191653841671,0.782774969764383,0.8341390826135221,0.868725589964341
Dirichlet,Linear,Poultry,3,2008-2014,0.6113129569384554,0.5531007263730253,0.5869670361287442,0.6356218565493825,0.6702807849231138
Dirichlet,Linear,Poultry,3,2005-2007,0.8627283177344783,0.7991059765125419,0.8398173565213463,0.8880814110746763,0.9178769269986884
Dirichlet,Linear,Ruminants,-3,2008-2014,0.6509767483837597,0.546593097964466,0.6112085452205338,0.6939626885398933,0.7465498576262657
Dirichlet,Linear,Ruminants,-3,2005-2007,0.6261828742898337,0.43062948297363157,0.5574941392833899,0.7050941826088934,0.7922447357144937
Dirichlet,Linear,Ruminants,-2,2008-2014,0.6179431574352152,0.5338157619193208,0.5840400078610917,0.6533360486603286,0.6984168622413272
Dirichlet,Linear,Ruminants,-2,2005-2007,0.5508619448285225,0.3973883517938409,0.4909902523361709,0.6133723758993066,0.6972236315089523
Dirichlet,Linear,Ruminants,-1,2008-2014,0.5753548081058011,0.5045368924384397,0.5463587296991333,0.6044893315288155,0.6442540852878131
Dirichlet,Linear,Ruminants,-1,2005-2007,0.45175853400768784,0.3333640527753896,0.4015423074225966,0.500879218109223,0.5749806399258075
Dirichlet,Linear,Ruminants,0,2008-2014,0.5288693828483464,0.4690871440563681,0.5047364335875999,0.5533657251817181,0.5879290778791967
Dirichlet,Linear,Ruminants,0,2005-2007,0.35240285491378903,0.26383715627053794,0.3135808526472045,0.38859067061660446,0.4468845688739692
Dirichlet,Linear,Ruminants,1,2008-2014,0.4807259959809154,0.42804878121452505,0.4591684044554951,0.5022998302842426,0.5328577401925348
Dirichlet,Linear,Ruminants,1,2005-2007,0.2637083475548692,0.1942203913996258,0.23345717398267857,0.2921146971969749,0.33796607177618787
Dirichlet,Linear,Ruminants,2,2008-2014,0.43246449560980355,0.3792629110111496,0.4112461624032122,0.4540728754209309,0.4840392362276419
Dirichlet,Linear,Ruminants,2,2005-2007,0.19134908618434232,0.13050728549544602,0.1650420601667006,0.21657712157281261,0.2572885170063888
Dirichlet,Linear,Ruminants,3,2008-2014,0.38531944396573387,0.3269332397019622,0.3610420716320622,0.4096071163284484,0.44377910995182085
Dirichlet,Linear,Ruminants,3,2005-2007,0.13611920315673304,0.08110993299485243,0.11066343536212855,0.15897857722702396,0.19973902690486742
Dirichlet,Linear,Water,-3,2008-2014,0.007038109691654409,8.1637252016417225e-08,1.6055975809576088e-5,0.003652568688750862,0.038089955715370424
Dirichlet,Linear,Water,-3,2005-2007,0.013394499913825663,5.3566755011305966e-11,1.4675583655645184e-7,0.0016096679855338888,0.07360317155540155
Dirichlet,Linear,Water,-2,2008-2014,0.0014716850189258601,2.7859056743964054e-7,1.9610790885028997e-5,0.0012648664895425327,0.007415256552810858
Dirichlet,Linear,Water,-2,2005-2007,0.0011553787010570417,4.666819949517151e-10,2.336538390419173e-7,3.034504091577229e-4,0.00572597898386829
Dirichlet,Linear,Water,-1,2008-2014,5.217716625907325e-4,7.518714641372258e-7,1.814697299451307e-5,4.912901623586466e-4,0.002410862446616131
Dirichlet,Linear,Water,-1,2005-2007,2.3204068112847362e-4,2.4988873706638297e-9,2.914376564868719e-7,5.991056548695301e-5,0.001016960638064074
Dirichlet,Linear,Water,0,2008-2014,2.9393094580950816e-4,9.373860893940223e-7,1.263973824434922e-5,2.684675370585958e-4,0.001349285537554552
Dirichlet,Linear,Water,0,2005-2007,9.950529696293539e-5,3.4686767459220085e-9,1.913457772740623e-7,2.2876053627699106e-5,4.28751452462479e-4
Dirichlet,Linear,Water,1,2008-2014,2.4426195714054316e-4,3.304379141705483e-7,7.4179945656613824e-6,2.1074439703777485e-4,0.0011597330807598901
Dirichlet,Linear,Water,1,2005-2007,7.571850323639554e-5,5.938585255775732e-10,7.552374684668106e-8,1.7722564335650524e-5,3.1622825768968995e-4
Dirichlet,Linear,Water,2,2008-2014,2.991335488293127e-4,5.5568227133516534e-8,3.1882140643754965e-6,2.44594521015161e-4,0.0014976781190027832
Dirichlet,Linear,Water,2,2005-2007,1.0559618277948812e-4,3.112689606651799e-11,1.800850960453119e-8,2.4065218804663137e-5,5.146895964771508e-4
Dirichlet,Linear,Water,3,2008-2014,5.818548193954144e-4,7.161370748260661e-9,1.17512032976015e-6,3.2327490800042726e-4,0.003104736353852457
Dirichlet,Linear,Water,3,2005-2007,3.5217973418825516e-4,1.071600597200702e-12,3.2341203163685193e-9,4.0461914568923595e-5,0.0018110466244902498
Island,Linear,Other,-3,2008-2014,0.025359493217689096,0.0034349206252487106,0.011490077846161587,0.03421787568267282,0.06284116335779766
