"ID" "Population" "Meshblock06" "CAU" "WaterZone" "Zone7"
399 9 1882510 4 2 1
400 81 1882100 4 2 1
401 27 1882509 4 2 1
402 24 1882508 4 2 1
403 30 2228000 58 2 2
404 63 1883101 4 2 1
405 36 1773000 57 2 3
406 12 1776500 13 2 4
407 30 1776900 13 2 4
408 282 1859000 10 1 1
409 60 2225700 60 18 3
410 39 2226500 58 18 2
411 3 2224903 16 2 2
412 42 2225900 60 18 3
413 78 2225300 60 18 3
414 72 2227500 58 18 3
415 120 1871400 1 1 1
416 93 1868800 67 1 1
417 177 1867008 2 1 1
418 81 1862305 2 1 1
419 69 1868900 67 1 1
420 114 1862304 2 1 1
421 0 1865400 5 1 1
422 105 1873500 1 1 1
423 87 1868700 67 1 1
424 105 1865200 2 1 1
425 54 1864900 5 1 1
426 129 1867100 67 1 1
427 96 1870700 67 1 1
428 219 1864500 5 1 1
429 72 1868600 67 1 1
430 186 1866100 2 1 1
431 105 1870800 67 1 1
432 108 1867200 67 1 1
433 78 1866000 2 1 1
434 18 1776600 13 2 4
435 75 1855800 9 1 1
436 6 2224102 16 2 2
437 51 1855600 9 1 1
438 84 1857600 4 1 1
439 36 2228800 58 2 2
440 135 1855700 9 1 1
441 21 2224600 16 2 2
442 99 1856103 9 2 1
443 255 1857700 10 1 1
444 60 2223900 16 19 2
445 63 1853900 4 2 1
446 18 2224101 16 2 2
447 57 2221800 7 2 3
448 39 2222700 7 2 2
449 36 1853100 4 2 1
450 0 1853502 62 2 3
451 18 2222600 7 2 2
452 84 1855000 4 2 1
453 45 1798200 18 2 3
454 75 1780300 12 3 1
455 126 2216700 15 5 3
456 105 2218500 15 5 3
457 81 1780900 12 3 1
458 36 2223500 16 2 2
459 57 1527900 51 2 2
460 78 2216802 15 5 3
461 81 1852200 62 2 1
462 63 1852300 62 2 3
463 39 1854700 4 4 1
464 111 1780200 12 3 1
465 117 1798100 18 2 3
466 123 1785001 11 3 1
467 120 2216600 15 5 3
468 57 1852400 68 23 3
469 105 1780800 12 3 1
470 30 2222102 7 2 3
471 93 1782502 14 4 1
472 15 1775400 13 2 3
473 75 1798800 63 21 3
474 9 1798400 63 8 5
475 66 1814201 21 7 3
476 27 1796100 19 24 5
477 144 1814202 21 7 3
478 324 1814300 21 7 3
479 57 1796200 19 24 5
480 39 1784500 30 2 4
481 3 1805602 22 6 5
482 15 1775000 13 2 3
483 132 1800503 22 6 5
484 15 1774802 13 2 3
485 57 1808700 25 6 6
486 132 1802700 24 6 5
487 120 1800200 24 6 5
488 189 1804300 17 6 5
489 129 1800501 22 6 5
490 93 1800000 24 6 5
491 48 1813500 23 6 6
492 15 1794000 22 6 5
493 126 1802600 24 6 5
494 66 1818600 29 6 5
495 27 1851500 26 6 3
496 99 1801600 24 6 6
497 102 1819200 29 6 5
498 114 1808100 25 6 6
499 180 1811900 31 6 3
500 12 1849502 26 6 3
501 162 1819506 27 6 5
502 69 1812901 23 6 3
503 81 1811800 31 6 3
504 168 1809000 25 6 6
505 87 1806500 25 6 6
506 108 1819304 27 6 5
507 72 1849501 26 6 3
508 171 1817001 27 6 5
509 111 1819507 27 6 5
510 51 1784000 28 9 4
511 120 1808300 25 6 6
512 87 1850900 26 6 3
513 105 1786400 30 2 4
514 78 1818200 29 6 5
515 0 1828600 32 6 6
516 72 1818100 29 6 5
517 126 1816800 29 6 5
518 57 1828100 32 6 6
519 270 1817103 27 6 5
520 129 1810400 31 6 6
521 168 1848800 26 6 3
522 3 1829400 32 6 6
523 108 1816600 27 6 5
524 60 1826000 34 6 6
525 138 1836500 37 6 6
526 60 1827200 32 6 6
527 129 1817600 29 6 7
528 147 1815900 27 6 5
529 3 1829600 32 6 6
530 123 1825800 34 6 6
531 99 1827100 32 6 6
532 60 1827300 32 6 6
533 72 1817400 29 6 7
534 90 1842800 39 6 7
535 96 1815400 38 6 7
536 114 1845602 35 6 3
537 108 1821000 38 6 7
538 96 1824000 34 6 7
539 120 1831900 41 6 7
540 132 1541300 36 10 3
541 87 1830400 32 6 7
542 150 1847200 35 6 3
543 66 1843302 39 6 7
544 87 1845001 39 6 7
545 30 1832700 41 6 7
546 111 1542100 36 10 3
547 21 1540900 36 10 3
548 87 1833500 41 6 7
549 96 1823400 34 6 7
550 144 1843600 39 6 7
551 84 1830300 32 6 6
552 153 1830500 32 6 7
553 21 1541000 36 10 3
554 105 1844201 39 6 7
555 0 1834100 41 6 7
556 165 1840500 39 6 7
557 18 1844202 39 6 7
558 99 1540800 36 10 3
559 225 1820600 38 6 7
560 30 1834000 41 6 7
561 6 1820700 38 6 7
562 87 1832900 41 6 7
563 108 1541100 36 10 3
564 36 1758300 44 12 3
565 165 1792100 33 22 7
566 129 1793500 43 2 7
567 78 1787500 30 2 4
568 66 1543700 46 2 3
569 228 1759100 45 22 7
570 81 1758402 44 12 3
571 105 1756201 44 12 3
572 249 1756100 44 12 3
573 42 1766802 49 2 4
574 189 1767200 49 13 4
575 231 1767000 49 13 4
576 183 1766300 49 13 4
577 114 1766900 49 13 4
578 135 1759500 48 27 4
579 99 1529300 50 14 2
580 54 1788902 49 2 4
581 165 1763900 52 13 4
582 42 1789000 66 13 4
583 69 1537901 51 2 3
584 87 1537401 51 14 2
585 21 1762600 69 16 4
586 0 1774600 57 2 3
587 15 1536000 51 2 2
588 15 1762800 48 2 4
589 39 1773700 57 2 3
590 51 1777200 13 25 4
591 15 1777600 13 2 4
592 69 1534102 51 2 3
593 57 1777100 13 25 4
594 0 1882512 59 2 1
596 6 1776800 13 2 4
597 0 1869401 1 1 1
598 0 1865500 5 1 1
599 159 1866300 2 1 1
600 93 1865600 2 1 1
601 225 1866801 2 1 1
602 66 1862306 2 1 1
603 72 1871700 1 1 1
604 60 1871800 1 1 1
605 66 1867003 2 1 1
606 141 1871101 5 1 1
607 51 1858100 10 1 1
608 42 1862403 5 1 1
609 27 2224800 16 2 2
610 78 1871001 5 1 1
611 21 2228301 58 2 2
612 21 1862402 5 1 1
613 27 1862401 5 1 1
614 72 1862500 5 1 1
615 96 1862404 5 1 1
616 66 2223200 7 2 2
617 90 1854901 4 2 1
618 9 1860300 8 2 1
619 66 1781601 12 3 1
620 99 1859601 6 2 1
621 60 1781000 12 3 1
622 60 2222201 15 5 3
623 60 1859500 6 2 1
624 75 2227000 58 2 3
625 141 1780700 12 3 1
626 6 2216801 15 5 3
627 24 1860200 8 2 1
628 60 1859602 6 2 1
629 75 1781400 12 3 1
630 96 1781500 12 3 1
631 3 1854000 4 2 3
632 75 1781300 12 3 1
633 39 1860400 8 2 1
634 138 1860500 8 2 1
635 123 1853202 68 23 3
636 12 1540400 51 2 2
637 54 2217000 15 5 3
638 48 2219100 15 5 3
639 45 2222000 7 5 3
640 78 1853400 62 23 3
641 66 2218800 15 5 3
642 87 1783300 14 4 1
643 69 2216900 15 5 3
644 45 2219300 15 5 3
645 96 1782800 14 4 1
646 120 1797300 20 8 3
647 0 1798502 20 8 5
648 57 2220500 7 2 3
649 129 1798703 21 7 3
650 66 1798704 21 7 3
651 39 1799401 18 7 3
652 147 1798501 20 8 5
653 30 1784700 11 2 1
654 15 1540200 51 2 2
655 81 1801200 24 6 5
656 63 1800504 22 6 5
657 222 1799100 63 28 3
658 72 1800302 24 6 5
659 126 1812800 23 6 3
660 153 1808200 25 6 6
661 78 1803801 17 6 5
662 84 1815000 21 2 3
663 102 1812600 31 6 6
664 0 1784200 30 9 1
665 117 1803900 17 6 5
666 15 1539600 51 2 2
667 87 1806400 25 6 6
668 96 1850800 26 6 3
669 156 1800301 24 6 5
670 126 1819503 27 6 5
671 45 1804400 17 6 5
672 102 1800506 22 6 5
673 189 1813200 23 6 3
674 0 1774702 13 2 3
675 9 1774902 13 2 3
676 42 1776001 13 2 3
677 45 1849600 26 6 3
678 72 1783802 28 9 1
679 192 1810900 31 6 6
680 135 1786200 30 2 4
681 66 1819000 29 6 5
682 168 1812300 31 6 6
683 138 1806000 25 6 6
684 141 1809100 25 6 6
685 57 1818900 29 6 5
686 204 1809200 25 6 6
687 141 1810100 31 6 6
688 87 1825300 34 6 6
689 195 1811500 31 6 6
690 90 1849100 26 6 3
691 168 1848300 26 6 3
692 3 1828700 32 6 6
693 24 1828400 32 6 6
694 84 1826500 34 6 6
695 81 1818300 29 6 5
696 138 1849300 26 6 3
697 105 1823500 34 6 7
698 123 1816000 27 6 5
699 96 1826100 34 6 6
700 21 1835100 37 6 6
701 111 1816200 27 6 7
702 108 1846800 35 6 7
703 108 1542200 36 10 3
704 75 1827500 32 6 6
705 135 1847801 26 6 3
706 93 1835900 37 6 6
707 102 1823100 34 6 7
708 117 1827400 32 6 6
709 102 1822500 34 6 7
710 150 1846600 35 6 7
711 165 1822700 34 6 7
712 39 1831200 32 6 6
713 99 1824100 34 6 6
714 144 1848500 26 6 3
715 90 1829700 32 6 6
716 60 1815500 38 6 5
717 78 1844000 39 6 7
718 9 1541600 36 10 3
719 198 1833800 41 6 7
720 72 1842901 39 6 7
721 69 1542500 46 2 3
722 126 1823600 34 6 7
723 12 1794605 33 6 5
724 30 1541500 36 10 3
725 114 1846200 35 6 7
726 72 1845500 35 6 3
727 57 1542800 46 2 3
728 9 1794604 33 6 5
729 72 1842100 39 6 7
730 90 1831600 41 6 7
731 78 1833100 41 6 7
732 39 1844300 39 6 7
733 138 1840600 39 6 7
734 33 1793202 64 2 3
735 72 1541200 36 10 3
736 0 1845002 39 6 7
737 36 1839808 42 11 7
738 45 1839817 42 11 7
739 54 1839506 42 11 7
740 168 1838002 40 6 7
741 39 1839906 42 11 3
742 42 1543900 46 10 3
743 69 1839824 42 11 7
744 135 1839518 42 11 7
745 24 1839821 42 11 7
746 54 1839806 42 11 7
747 15 1839810 42 11 7
748 225 1837800 40 6 7
749 96 1839815 42 11 7
750 114 1785900 30 2 4
751 99 1839803 42 11 7
752 123 1836900 40 6 7
753 147 1839825 42 11 7
754 186 1839404 42 11 7
755 87 1838500 40 6 7
756 120 1838102 40 6 7
757 63 1759401 45 2 3
758 96 1786700 70 2 4
759 123 1756202 44 12 3
760 219 1756701 44 12 3
761 24 1786600 70 2 4
762 66 1786900 70 2 4
763 12 1791302 71 2 4
764 18 1758401 45 2 3
765 45 1756400 44 12 3
766 84 1787800 30 2 4
767 42 1544300 46 2 3
768 42 1538500 51 2 2
769 108 1788000 30 2 4
770 99 1793800 43 13 4
771 57 1759800 48 2 4
772 108 1536900 51 2 2
773 75 1538600 51 2 2
774 9 1758900 48 2 3
775 63 1788200 30 2 4
776 60 1770400 54 13 4
777 189 1530200 53 14 2
778 60 1539300 51 2 2
779 99 1767500 49 13 4
780 108 1533600 50 14 2
781 78 1531000 53 14 2
782 24 1531100 53 14 2
783 147 1765000 49 13 4
784 3 1528300 50 14 2
785 150 1771302 52 13 4
786 150 1770300 54 13 4
787 225 1766400 49 13 4
788 186 1772500 52 13 4
789 39 1761804 52 13 4
790 195 1771601 52 13 4
791 81 1768900 47 13 4
792 78 1537700 51 14 2
793 66 1772200 47 13 4
794 0 1528400 50 14 2
795 90 1532000 50 14 2
796 45 1538200 51 2 2
797 42 1790200 30 15 4
798 57 1544100 46 2 3
799 84 1790300 30 26 4
800 63 1536400 51 14 2
801 51 1761703 56 2 4
802 99 1761502 56 13 4
803 108 1761402 65 13 4
804 6 1790000 72 26 4
815 123 1762700 69 16 4
816 66 1763000 69 16 4
817 30 1536300 51 2 2
818 24 1760900 69 16 4
819 78 1762902 69 16 4
820 0 1537902 51 2 3
821 21 1535502 51 2 2
822 24 1534500 51 17 2
823 93 1762200 48 2 4
824 48 1762100 48 16 4
826 12 1777400 13 2 4
827 39 1883001 4 2 1
828 81 1882404 4 2 1
829 0 2225002 73 2 2
830 45 1882900 4 2 1
831 114 1868000 67 1 1
832 54 1859200 4 2 1
833 102 1868100 67 1 1
834 12 2226600 58 18 3
835 132 1872400 61 1 1
836 183 1858901 10 1 1
837 27 1872500 61 1 1
838 87 1873900 1 1 1
839 129 1869100 67 1 1
840 9 1874100 1 1 1
841 9 1882001 4 2 1
842 198 1872703 61 1 1
843 18 1773100 57 2 3
844 0 1869700 1 1 1
845 96 1872000 1 1 1
846 75 1866600 2 1 1
847 132 1865900 2 1 1
848 96 1866500 2 1 1
849 54 1869402 1 1 1
850 132 1871900 1 1 1
851 6 1869600 1 1 1
852 33 2227300 58 18 3
853 63 1869800 67 1 1
854 9 1782400 12 3 1
855 78 1781800 12 3 1
856 90 1853300 68 23 3
857 36 2221600 7 2 3
858 24 2222500 7 2 2
859 63 1781900 12 3 1
860 0 1776002 13 2 3
861 15 2221101 15 5 3
862 30 1785002 12 3 1
863 138 1779700 12 3 1
864 66 1779500 12 3 1
865 54 2217200 15 5 3
866 66 1852500 62 2 3
867 141 1783200 14 4 1
868 6 2217400 15 5 3
869 147 1782902 14 4 1
870 15 2217900 15 5 3
871 21 1773500 57 2 3
872 90 1801900 24 6 6
873 57 2220000 7 2 3
874 165 1812700 23 6 3
875 138 1802100 24 6 6
876 63 1796900 43 2 5
877 195 1819504 27 6 5
878 114 1812902 23 6 3
